monitoring_date,feature_name,window_days,baseline_date,customer_count,mean_value,stddev_value,psi_vs_baseline,drift_status,warning_flag,alert_flag
2026-04-10,f_customer_order_frequency_7d,7,2026-04-10,11966,0.381915427043,0.631281504422,0.000000000000,stable,False,False
2026-04-11,f_customer_order_frequency_7d,7,2026-04-10,11966,0.411164967408,0.656742779240,0.001901606020,stable,False,False
2026-04-12,f_customer_order_frequency_7d,7,2026-04-10,11966,0.440330937657,0.686715001794,0.007256892627,stable,False,False
2026-04-13,f_customer_order_frequency_7d,7,2026-04-10,11966,0.467240514792,0.704837412591,0.015340890650,stable,False,False
2026-04-14,f_customer_order_frequency_7d,7,2026-04-10,11966,0.496155774695,0.732436739433,0.026934644979,stable,False,False
2026-04-15,f_customer_order_frequency_7d,7,2026-04-10,11966,0.524151763329,0.755199268526,0.039504555657,stable,False,False
2026-04-16,f_customer_order_frequency_7d,7,2026-04-10,11966,0.547133545044,0.771207849914,0.052389893229,stable,False,False
2026-04-17,f_customer_order_frequency_7d,7,2026-04-10,11966,0.566605381915,0.781835371271,0.064401912211,stable,False,False
2026-04-18,f_customer_order_frequency_7d,7,2026-04-10,11966,0.568945345145,0.781525574644,0.065603143756,stable,False,False
2026-04-19,f_customer_order_frequency_7d,7,2026-04-10,11966,0.564432558917,0.777623636835,0.063332407457,stable,False,False
2026-04-20,f_customer_order_frequency_7d,7,2026-04-10,11966,0.561340464650,0.771400679783,0.062586138883,stable,False,False
2026-04-21,f_customer_order_frequency_7d,7,2026-04-10,11966,0.557245528999,0.777863486693,0.058126970449,stable,False,False
2026-04-22,f_customer_order_frequency_7d,7,2026-04-10,11966,0.552732742771,0.779577279915,0.055216248041,stable,False,False
2026-04-23,f_customer_order_frequency_7d,7,2026-04-10,11966,0.550392779542,0.774570406237,0.053787265496,stable,False,False
2026-04-24,f_customer_order_frequency_7d,7,2026-04-10,11966,0.555323416346,0.775635796654,0.057477229309,stable,False,False
2026-04-25,f_customer_order_frequency_7d,7,2026-04-10,11966,0.552649172656,0.773448478563,0.054896705388,stable,False,False
2026-04-26,f_customer_order_frequency_7d,7,2026-04-10,11966,0.556576968076,0.770355687367,0.058624690195,stable,False,False
2026-04-27,f_customer_order_frequency_7d,7,2026-04-10,11966,0.560170483035,0.776244384517,0.060407627935,stable,False,False
2026-04-28,f_customer_order_frequency_7d,7,2026-04-10,11966,0.560086912920,0.776573766690,0.060161340899,stable,False,False
2026-04-29,f_customer_order_frequency_7d,7,2026-04-10,11966,0.565602540532,0.781920156631,0.063634921104,stable,False,False
2026-04-30,f_customer_order_frequency_7d,7,2026-04-10,11966,0.571870299181,0.785209865621,0.068131800343,stable,False,False
2026-05-01,f_customer_order_frequency_7d,7,2026-04-10,11966,0.571870299181,0.790407745642,0.066316511383,stable,False,False
