monitoring_date,feature_name,window_days,baseline_date,customer_count,mean_value,stddev_value,psi_vs_baseline,drift_status,warning_flag,alert_flag
2026-04-10,f_customer_order_frequency_7d,7,2026-04-10,11966,0.381915427043,0.599086056556,0.000000000000,stable,False,False
2026-04-11,f_customer_order_frequency_7d,7,2026-04-10,11966,0.410997827177,0.634059787377,0.002194230996,stable,False,False
2026-04-12,f_customer_order_frequency_7d,7,2026-04-10,11966,0.439996657195,0.673786142128,0.010459756487,stable,False,False
2026-04-13,f_customer_order_frequency_7d,7,2026-04-10,11966,0.467407655023,0.715786799654,0.022114556027,stable,False,False
2026-04-14,f_customer_order_frequency_7d,7,2026-04-10,11966,0.496322914926,0.763498407665,0.044349969645,stable,False,False
2026-04-15,f_customer_order_frequency_7d,7,2026-04-10,11966,0.524068193214,0.808020568348,0.064157470236,stable,False,False
2026-04-16,f_customer_order_frequency_7d,7,2026-04-10,11966,0.547300685275,0.853105730616,0.085726436406,stable,False,False
2026-04-17,f_customer_order_frequency_7d,7,2026-04-10,11966,0.566856092261,0.899700728661,0.111956658830,warning,True,False
2026-04-18,f_customer_order_frequency_7d,7,2026-04-10,11966,0.568945345145,0.904268671011,0.116061485829,warning,True,False
2026-04-19,f_customer_order_frequency_7d,7,2026-04-10,11966,0.564683269263,0.902270945392,0.111193056105,warning,True,False
2026-04-20,f_customer_order_frequency_7d,7,2026-04-10,11966,0.561674745111,0.902388979214,0.111459616281,warning,True,False
2026-04-21,f_customer_order_frequency_7d,7,2026-04-10,11966,0.557830519806,0.905785870287,0.109004632050,warning,True,False
2026-04-22,f_customer_order_frequency_7d,7,2026-04-10,11966,0.553484873809,0.899201536386,0.106012656523,warning,True,False
2026-04-23,f_customer_order_frequency_7d,7,2026-04-10,11966,0.550643489888,0.895081460587,0.100976092781,warning,True,False
2026-04-24,f_customer_order_frequency_7d,7,2026-04-10,11966,0.555657696808,0.904629575788,0.106489900860,warning,True,False
2026-04-25,f_customer_order_frequency_7d,7,2026-04-10,11966,0.553317733578,0.900326016962,0.105366581641,warning,True,False
2026-04-26,f_customer_order_frequency_7d,7,2026-04-10,11966,0.557245528999,0.897853719381,0.106752197268,warning,True,False
2026-04-27,f_customer_order_frequency_7d,7,2026-04-10,11966,0.560170483035,0.902860851895,0.111241167844,warning,True,False
2026-04-28,f_customer_order_frequency_7d,7,2026-04-10,11966,0.560254053151,0.897470623817,0.111942477510,warning,True,False
2026-04-29,f_customer_order_frequency_7d,7,2026-04-10,11966,0.565769680762,0.908377415378,0.114638046929,warning,True,False
