event_id,event_type,event_topic,schema_version,event_timestamp,created_ts,producer,correlation_ids,payload
KEVT-CAT-PROMOTION-CREATED-20260421-0000000013,promotion_created,catalog_events,1,2026-04-21T18:54:40,2026-04-21T18:54:40,vina_bim_shop.synthetic_source,"{'promotion_id': 'PRM-ELHA-00000013', 'seller_id': 'SEL-OVN-PRE-00000007'}","{'promotion_name': 'Mixed ELHA Campaign', 'funding_type': 'mixed', 'funding_detail': {}, 'category': 'ELHA', 'discount_rate': 0.256}"
KEVT-CAT-PROMOTION-CREATED-20260421-0000000016,promotion_created,catalog_events,1,2026-04-21T20:37:56,2026-04-21T20:37:56,vina_bim_shop.synthetic_source,"{'promotion_id': 'PRM-FMCG-00000016', 'seller_id': 'SEL-OVN-STA-00000020'}","{'promotion_name': 'Mixed FMCG Campaign', 'funding_type': 'mixed', 'funding_detail': {}, 'category': 'FMCG', 'discount_rate': 0.26}"
KEVT-CAT-PROMOTION-CREATED-20260422-0000000006,promotion_created,catalog_events,1,2026-04-22T10:09:07,2026-04-22T10:09:07,vina_bim_shop.synthetic_source,"{'promotion_id': 'PRM-FMCG-00000006', 'seller_id': None}","{'promotion_name': 'Platform FMCG Campaign', 'funding_type': 'platform', 'funding_detail': {}, 'category': 'FMCG', 'discount_rate': 0.063}"
KEVT-CAT-PROMOTION-CREATED-20260422-0000000002,promotion_created,catalog_events,1,2026-04-22T18:52:10,2026-04-22T18:52:10,vina_bim_shop.synthetic_source,"{'promotion_id': 'PRM-HOME-LIVING-00000002', 'seller_id': None}","{'promotion_name': 'Platform Home & Living Campaign', 'funding_type': 'platform', 'funding_detail': {}, 'category': 'Home & Living', 'discount_rate': 0.23}"
KEVT-CAT-PROMOTION-CREATED-20260423-0000000004,promotion_created,catalog_events,1,2026-04-23T14:19:09,2026-04-23T14:19:09,vina_bim_shop.synthetic_source,"{'promotion_id': 'PRM-FMCG-00000004', 'seller_id': 'SEL-HCM-STA-00000022'}","{'promotion_name': 'Seller FMCG Campaign', 'funding_type': 'seller', 'funding_detail': {}, 'category': 'FMCG', 'discount_rate': 0.13}"
KEVT-CAT-PROMOTION-CREATED-20260424-0000000008,promotion_created,catalog_events,1,2026-04-24T17:53:50,2026-04-24T17:53:50,vina_bim_shop.synthetic_source,"{'promotion_id': 'PRM-FMCG-00000008', 'seller_id': None}","{'promotion_name': 'Platform FMCG Campaign', 'funding_type': 'platform', 'funding_detail': {}, 'category': 'FMCG', 'discount_rate': 0.272}"
KEVT-CAT-INVENTORY-LOW-STOCK-20260425-0000000001,inventory_low_stock,catalog_events,1,2026-04-25T00:00:00,2026-04-25T00:00:00,vina_bim_shop.synthetic_source,"{'snapshot_id': 'INV-20260425-00000001', 'product_id': 'PRD-ELHA-00000001', 'seller_id': 'SEL-HCM-STA-00000016'}","{'stock_on_hand': 41, 'threshold': 47.0}"
KEVT-CAT-INVENTORY-LOW-STOCK-20260425-0000000002,inventory_low_stock,catalog_events,1,2026-04-25T00:00:00,2026-04-25T00:00:00,vina_bim_shop.synthetic_source,"{'snapshot_id': 'INV-20260425-00000010', 'product_id': 'PRD-FASHION-00000010', 'seller_id': 'SEL-CTO-NEW-00000070'}","{'stock_on_hand': 47, 'threshold': 47.0}"
KEVT-CAT-INVENTORY-LOW-STOCK-20260425-0000000003,inventory_low_stock,catalog_events,1,2026-04-25T00:00:00,2026-04-25T00:00:00,vina_bim_shop.synthetic_source,"{'snapshot_id': 'INV-20260425-00000017', 'product_id': 'PRD-ELHA-00000017', 'seller_id': 'SEL-HCM-OFF-00000079'}","{'stock_on_hand': 43, 'threshold': 47.0}"
KEVT-CAT-INVENTORY-LOW-STOCK-20260425-0000000004,inventory_low_stock,catalog_events,1,2026-04-25T00:00:00,2026-04-25T00:00:00,vina_bim_shop.synthetic_source,"{'snapshot_id': 'INV-20260425-00000024', 'product_id': 'PRD-HOME-LIVING-00000024', 'seller_id': 'SEL-HAN-STA-00000003'}","{'stock_on_hand': 47, 'threshold': 47.0}"
